record_ID,units_sold
212645,15.0
212646,17.0
212647,38.0
212648,45.0
212649,26.0
212653,17.0
212654,41.0
212657,16.0
212658,10.0
212661,116.0
212662,80.0
212666,73.0
212667,87.0
212668,107.0
212672,162.0
212673,74.0
212678,79.0
212679,58.0
212663,56.0
212671,30.0
212674,387.0
212675,11.0
212676,14.0
212677,96.0
212681,25.0
212682,103.0
212683,22.0
212686,76.0
212687,61.0
212691,19.0
212692,56.0
212693,33.0
212697,67.0
212698,37.0
212703,46.0
212704,30.0
212688,23.0
212696,34.0
212699,193.0
212700,17.0
212701,13.0
212702,40.0
212706,37.0
212707,48.0
212709,5.0
212689,4.0
212694,43.0
212695,43.0
212705,29.0
212710,11.0
212711,47.0
212712,29.0
212713,31.0
212716,27.0
212717,39.0
212721,75.0
212722,28.0
212728,55.0
212729,34.0
212723,139.0
212724,19.0
212725,13.0
212727,38.0
212731,37.0
212732,45.0
212734,6.0
212718,22.0
212719,28.0
212735,4.0
212736,15.0
212737,155.0
212738,169.0
212742,100.0
212743,117.0
212744,201.0
212748,181.0
212749,90.0
212755,107.0
212756,83.0
212739,55.0
212750,561.0
212751,37.0
212752,24.0
212754,147.0
212758,96.0
212759,173.0
212761,57.0
212740,10.0
212757,41.0
212760,14.0
212763,9.0
212764,75.0
212765,82.0
212767,47.0
212768,54.0
212769,56.0
212773,73.0
212774,29.0
212779,43.0
212772,34.0
212775,281.0
212776,24.0
212777,14.0
212778,63.0
212782,43.0
212783,53.0
212787,132.0
212788,92.0
212792,97.0
212793,99.0
212794,113.0
212796,131.0
212797,130.0
212803,78.0
212789,60.0
212798,442.0
212799,19.0
212800,15.0
212802,95.0
212806,57.0
212807,89.0
212809,39.0
212790,21.0
212805,53.0
212812,30.0
212816,14.0
212817,27.0
212818,34.0
212822,56.0
212823,28.0
212829,52.0
212830,32.0
212821,30.0
212824,125.0
212825,18.0
212826,17.0
212828,44.0
212832,46.0
212833,48.0
212819,25.0
212820,30.0
212831,50.0
212834,31.0
212835,24.0
212837,7.0
212838,18.0
212839,28.0
212843,37.0
212844,22.0
212849,21.0
212850,21.0
212845,71.0
212846,16.0
212853,37.0
212840,34.0
212915,104.0
212916,66.0
212919,48.0
212920,69.0
212921,83.0
212924,73.0
212925,52.0
212930,49.0
212931,19.0
212917,31.0
212926,311.0
212927,16.0
212929,91.0
212933,61.0
212934,90.0
212935,13.0
212932,70.0
212936,34.0
212937,52.0
212940,44.0
212941,46.0
212942,31.0
212946,32.0
212947,57.0
212950,56.0
212951,39.0
212938,15.0
212948,127.0
212949,40.0
212954,58.0
212952,41.0
212955,26.0
212956,33.0
212959,13.0
212960,26.0
212964,67.0
212965,23.0
212970,31.0
212971,27.0
212966,216.0
212967,16.0
212968,16.0
212969,40.0
212973,27.0
212974,32.0
212977,29.0
212978,56.0
212981,27.0
212982,39.0
212983,37.0
212987,92.0
212988,31.0
212994,66.0
212995,35.0
212979,23.0
212986,53.0
212989,300.0
212990,31.0
212991,17.0
212993,55.0
212997,40.0
212998,72.0
212984,30.0
212985,35.0
212996,62.0
212999,12.0
213001,21.0
213002,13.0
213006,11.0
213007,26.0
213011,25.0
213012,18.0
213016,23.0
213017,15.0
213013,97.0
213020,36.0
213021,134.0
213022,86.0
213025,58.0
213026,47.0
213027,98.0
213031,134.0
213032,60.0
213037,98.0
213038,55.0
213023,73.0
213033,346.0
213034,21.0
213035,13.0
213036,76.0
213040,34.0
213041,97.0
213043,25.0
213039,24.0
213048,131.0
213049,71.0
213053,71.0
213054,78.0
213055,100.0
213059,54.0
213060,59.0
213065,60.0
213066,51.0
213050,50.0
213061,236.0
213064,80.0
213068,58.0
213069,80.0
213056,57.0
213070,49.0
213072,57.0
213073,51.0
213076,21.0
213077,38.0
213078,53.0
213082,84.0
213083,26.0
213088,57.0
213089,35.0
213074,37.0
213081,25.0
213084,192.0
213085,28.0
213086,29.0
213087,53.0
213091,54.0
213092,78.0
213094,11.0
213079,22.0
213080,23.0
213090,40.0
213096,33.0
213093,9.0
213097,30.0
213098,27.0
213100,9.0
213101,29.0
213102,30.0
213106,43.0
213107,20.0
213110,38.0
213111,22.0
213105,37.0
213108,109.0
213109,25.0
213113,40.0
213114,41.0
213103,29.0
213127,79.0
213128,40.0
213131,40.0
213132,44.0
213133,50.0
213135,63.0
213136,19.0
213141,37.0
213142,40.0
213129,20.0
213137,172.0
213138,7.0
213140,41.0
213145,49.0
213147,8.0
213148,51.0
213149,34.0
213150,10.0
213151,21.0
213152,36.0
213154,54.0
213155,32.0
213160,39.0
213161,21.0
213153,10.0
213156,106.0
213157,14.0
213158,16.0
213159,46.0
213163,28.0
213164,44.0
213162,26.0
213167,13.0
213168,38.0
213169,122.0
213170,123.0
213174,76.0
213175,92.0
213176,96.0
213180,168.0
213181,67.0
213188,77.0
213189,93.0
213171,82.0
213179,21.0
213182,531.0
213183,24.0
213187,72.0
213191,26.0
213192,92.0
213194,28.0
213195,7.0
213215,71.0
213216,63.0
213219,55.0
213220,54.0
213221,75.0
213225,70.0
213226,32.0
213231,39.0
213217,39.0
213227,236.0
213230,52.0
213235,67.0
213236,8.0
213233,35.0
213238,106.0
213239,68.0
213241,43.0
213242,48.0
213243,72.0
213245,60.0
213246,31.0
213251,47.0
213252,28.0
213240,36.0
213247,361.0
213248,16.0
213249,18.0
213250,85.0
213254,34.0
213255,71.0
213257,22.0
